country,Years,continent,lifeExp,pop,gdpPercap
Afghanistan,2000,South Asia,55.841,20779957,
Afghanistan,2005,South Asia,58.29,25654274,345.9258138
Afghanistan,2010,South Asia,61.028,29185511,526.1036756
Afghanistan,2015,South Asia,63.377,34413603,556.0072209
Afghanistan,2020,South Asia,65.173,38928341,529.7412103
Albania,2000,Europe & Central Asia,73.955,3089027,1960.881946
Albania,2005,Europe & Central Asia,75.228,3011487,2675.507936
Albania,2010,Europe & Central Asia,76.562,2913021,3577.113388
Albania,2015,Europe & Central Asia,78.025,2880703,3952.802538
Albania,2020,Europe & Central Asia,78.686,2837849,4389.89621
Algeria,2000,Middle East & North Africa,70.64,31042238,3111.176169
Algeria,2005,Middle East & North Africa,73.072,33149720,3752.096161
Algeria,2010,Middle East & North Africa,74.938,35977451,3918.48642
Algeria,2015,Middle East & North Africa,76.09,39728020,4177.889542
Algeria,2020,Middle East & North Africa,77.063,43851043,3834.438983
American Samoa,2000,East Asia & Pacific,,57816,
American Samoa,2005,East Asia & Pacific,,59557,12628.50766
American Samoa,2010,East Asia & Pacific,,56084,12256.34286
American Samoa,2015,East Asia & Pacific,,55806,12059.63516
American Samoa,2020,East Asia & Pacific,,55197,11839.0105
Andorra,2000,Europe & Central Asia,,65390,34267.58224
Andorra,2005,Europe & Central Asia,,78871,39782.92876
Andorra,2010,Europe & Central Asia,,84454,34667.17131
Andorra,2015,Europe & Central Asia,,77993,35770.7767
Andorra,2020,Europe & Central Asia,,77265,34288.53846
Angola,2000,Sub-Saharan Africa,46.522,16395477,2451.509826
Angola,2005,Sub-Saharan Africa,50.165,19433604,3220.078085
Angola,2010,Sub-Saharan Africa,55.35,23356247,3988.623646
Angola,2015,Sub-Saharan Africa,59.398,27884380,4166.979833
Angola,2020,Sub-Saharan Africa,61.487,32866268,3168.253873
Antigua and Barbuda,2000,Latin America & Caribbean,73.94,76007,14069.51484
Antigua and Barbuda,2005,Latin America & Caribbean,75.019,81462,15122.18561
Antigua and Barbuda,2010,Latin America & Caribbean,75.823,88030,13986.84089
Antigua and Barbuda,2015,Latin America & Caribbean,76.483,93571,14285.32978
Antigua and Barbuda,2020,Latin America & Caribbean,77.146,97928,13285.64474
Argentina,2000,Latin America & Caribbean,73.576,36870796,10730.60822
Argentina,2005,Latin America & Caribbean,74.451,38892924,11192.17958
Argentina,2010,Latin America & Caribbean,75.278,40788453,13551.33919
Argentina,2015,Latin America & Caribbean,76.068,43131966,13789.06042
Argentina,2020,Latin America & Caribbean,76.813,45376763,11344.40574
Armenia,2000,Europe & Central Asia,71.409,3069597,1289.884252
Armenia,2005,Europe & Central Asia,72.626,2981262,2364.175935
Armenia,2010,Europe & Central Asia,73.331,2877314,2958.838999
Armenia,2015,Europe & Central Asia,74.467,2925559,3607.289299
Armenia,2020,Europe & Central Asia,75.224,2963234,4021.046264
Aruba,2000,Latin America & Caribbean,73.787,90866,31245.72404
Aruba,2005,Latin America & Caribbean,74.287,100028,29670.28769
Aruba,2010,Latin America & Caribbean,75.017,101665,25857.49338
Aruba,2015,Latin America & Caribbean,75.725,104339,28396.90842
Aruba,2020,Latin America & Caribbean,76.434,106766,
Australia,2000,East Asia & Pacific,79.23414634,19153000,45558.75313
Australia,2005,East Asia & Pacific,80.84146342,20394800,50332.87484
Australia,2010,East Asia & Pacific,81.69512195,22031750,53542.83372
Australia,2015,East Asia & Pacific,82.4,23815995,56707.02208
Australia,2020,East Asia & Pacific,83.2,25693267,58029.51553
Austria,2000,Europe & Central Asia,78.12682927,8011566,38842.89052
Austria,2005,Europe & Central Asia,79.33170732,8227829,41281.27076
Austria,2010,Europe & Central Asia,80.58048781,8363404,43334.50896
Austria,2015,Europe & Central Asia,81.1902439,8642699,44195.81759
Austria,2020,Europe & Central Asia,81.19268293,8916864,43346.43185
Azerbaijan,2000,Europe & Central Asia,66.763,8048600,1480.756655
Azerbaijan,2005,Europe & Central Asia,68.747,8391850,2631.758979
